implementation,domains,graph_profile,nodes,edges,avg_degree,median_seconds,min_seconds,max_seconds,speedup,edges_per_second,components,expected_components,correct,find_calls,union_calls,cas_attempts,cas_failures,cas_failure_rate,path_compactions,rank_updates
cas_union_find,1,sparse_random,200000,400000,4,0.807035,0.785067,0.820402,1.000,495641,3780,3780,true,0,400000,409159,0,0.000000,150607,62332
cas_union_find,2,sparse_random,200000,400000,4,0.883720,0.880456,0.901158,0.913,452632,3780,3780,true,0,400000,408947,3,0.000007,150414,62310
cas_union_find,4,sparse_random,200000,400000,4,0.561216,0.557082,0.602877,1.438,712738,3780,3780,true,0,400000,407577,8,0.000020,148998,62351
cas_union_find,8,sparse_random,200000,400000,4,1.038305,0.973438,1.052350,0.777,385243,3780,3780,true,0,400000,408514,14,0.000034,149848,62432
cas_union_find,16,sparse_random,200000,400000,4,0.929676,0.927977,0.979402,0.868,430258,3780,3780,true,0,400000,407960,34,0.000083,149371,62335
cas_union_find,1,dense_random,200000,4000000,4,4.371050,4.262839,4.426647,1.000,915112,1,1,true,0,4000000,421201,0,0.000000,159051,62151
cas_union_find,2,dense_random,200000,4000000,4,4.510664,4.001674,5.012338,0.969,886787,1,1,true,0,4000000,420787,2,0.000005,158619,62167
cas_union_find,4,dense_random,200000,4000000,4,4.194388,3.957318,4.233812,1.042,953655,1,1,true,0,4000000,421440,5,0.000012,159144,62292
cas_union_find,8,dense_random,200000,4000000,4,8.800923,8.580030,8.834009,0.497,454498,1,1,true,0,4000000,423227,16,0.000038,160772,62440
cas_union_find,16,dense_random,200000,4000000,4,8.162805,7.524111,9.639322,0.535,490028,1,1,true,0,4000000,424543,30,0.000071,162311,62203
cas_union_find,1,star,200000,199999,4,0.174446,0.160353,0.175123,1.000,1146482,1,1,true,0,199999,200000,0,0.000000,0,1
cas_union_find,2,star,200000,199999,4,0.282943,0.270414,0.369736,0.617,706853,1,1,true,0,199999,200000,0,0.000000,0,1
cas_union_find,4,star,200000,199999,4,0.197963,0.168669,0.313712,0.881,1010285,1,1,true,0,199999,200000,0,0.000000,0,1
cas_union_find,8,star,200000,199999,4,0.394860,0.374982,0.397347,0.442,506506,1,1,true,0,199999,200000,0,0.000000,0,1
cas_union_find,16,star,200000,199999,4,0.367665,0.360009,0.381280,0.474,543971,1,1,true,0,199999,200000,0,0.000000,0,1
cas_union_find,1,grid,200000,399105,4,0.375697,0.375651,0.382162,1.000,1062305,1,1,true,0,399105,200000,0,0.000000,0,1
cas_union_find,2,grid,200000,399105,4,0.394838,0.391233,0.400539,0.952,1010807,1,1,true,0,399105,201339,0,0.000000,1335,5
cas_union_find,4,grid,200000,399105,4,0.381255,0.380225,0.382681,0.985,1046819,1,1,true,0,399105,203579,0,0.000000,3566,14
cas_union_find,8,grid,200000,399105,4,0.770166,0.734698,0.884420,0.488,518207,1,1,true,0,399105,208948,0,0.000000,8916,33
cas_union_find,16,grid,200000,399105,4,0.776011,0.742260,0.887591,0.484,514303,1,1,true,0,399105,219705,0,0.000000,19637,69
cas_union_find,1,chain,200000,199999,4,0.193907,0.184789,0.196303,1.000,1031417,1,1,true,0,199999,200000,0,0.000000,0,1
cas_union_find,2,chain,200000,199999,4,0.251930,0.249259,0.275470,0.770,793867,1,1,true,0,199999,200002,0,0.000000,0,3
cas_union_find,4,chain,200000,199999,4,0.173616,0.167899,0.198562,1.117,1151962,1,1,true,0,199999,200004,0,0.000000,0,5
cas_union_find,8,chain,200000,199999,4,0.380141,0.368822,0.386213,0.510,526118,1,1,true,0,199999,200017,0,0.000000,6,12
cas_union_find,16,chain,200000,199999,4,0.380653,0.371780,0.404587,0.509,525410,1,1,true,0,199999,200032,0,0.000000,9,24
