implementation,domains,mode,graph_profile,union_percent,partitions,nodes,operations,union_ops,find_ops,min_partition_size,max_partition_size,median_seconds,min_seconds,max_seconds,speedup,operations_per_second,components,find_calls,union_calls,cas_attempts,cas_failures,cas_failure_rate,path_compactions,rank_updates
cas_union_find,1,shared,sparse_random,20,1,200000,1000000,200000,800000,200000,200000,1.187816,1.050659,1.214715,1.000,841881,75357,800000,200000,278407,0,0.000000,96767,56997
cas_union_find,2,shared,sparse_random,20,1,200000,1000000,200000,800000,200000,200000,1.050475,1.029926,1.075440,1.131,951950,75357,800000,200000,278452,1,0.000004,96767,57041
cas_union_find,4,shared,sparse_random,20,1,200000,1000000,200000,800000,200000,200000,0.838486,0.831981,0.886549,1.417,1192626,75357,800000,200000,280028,6,0.000021,98401,56978
cas_union_find,8,shared,sparse_random,20,1,200000,1000000,200000,800000,200000,200000,1.323968,1.197395,1.725521,0.897,755305,75357,800000,200000,278141,0,0.000000,96531,56967
cas_union_find,16,shared,sparse_random,20,1,200000,1000000,200000,800000,200000,200000,1.595247,1.565103,1.613378,0.745,626862,75357,800000,200000,278673,1,0.000004,97001,57028
cas_union_find,1,shared,dense_random,20,1,200000,1000000,200000,800000,200000,200000,0.881493,0.813908,0.964092,1.000,1134439,150322,800000,200000,106452,0,0.000000,41258,15516
cas_union_find,2,shared,dense_random,20,1,200000,1000000,200000,800000,200000,200000,0.842250,0.767985,0.859341,1.047,1187296,150322,800000,200000,106346,1,0.000009,41176,15491
cas_union_find,4,shared,dense_random,20,1,200000,1000000,200000,800000,200000,200000,0.869814,0.844064,0.884648,1.013,1149671,150322,800000,200000,106394,5,0.000047,41212,15499
cas_union_find,8,shared,dense_random,20,1,200000,1000000,200000,800000,200000,200000,1.745936,1.481157,1.767515,0.505,572759,150322,800000,200000,106744,3,0.000028,41554,15509
cas_union_find,16,shared,dense_random,20,1,200000,1000000,200000,800000,200000,200000,1.643740,1.342820,1.793697,0.536,608369,150322,800000,200000,106922,7,0.000065,41691,15546
cas_union_find,1,shared,star,20,1,200000,1000000,200000,800000,200000,200000,0.798359,0.777506,0.813038,1.000,1252569,73606,800000,200000,126395,0,0.000000,0,1
cas_union_find,2,shared,star,20,1,200000,1000000,200000,800000,200000,200000,0.787160,0.764695,0.831828,1.014,1270390,73606,800000,200000,126396,1,0.000008,0,1
cas_union_find,4,shared,star,20,1,200000,1000000,200000,800000,200000,200000,0.819957,0.805158,0.871270,0.974,1219576,73606,800000,200000,126396,1,0.000008,0,1
cas_union_find,8,shared,star,20,1,200000,1000000,200000,800000,200000,200000,1.730624,1.456931,1.802908,0.461,577826,73606,800000,200000,126395,0,0.000000,0,1
cas_union_find,16,shared,star,20,1,200000,1000000,200000,800000,200000,200000,1.581311,1.395838,1.764339,0.505,632387,73606,800000,200000,126396,1,0.000008,0,1
